link_id,a,b,aadt,length,speed,ftype,lanes,capacity
3500_3595,3500,3595,1481.6,0.47473,13.4112,3,1,849.3
3501_10042,3501,10042,634.6,0.14438,10.28192,41,1,1200
3502_5198,3502,5198,6209.9,0.23177,13.4112,3,1,849.3
3502_5199,3502,5199,5714.9,0.29454,13.4112,3,1,849.3
3503_3611,3503,3611,5845.5,0.16901,15.6464,3,2,1716
3503_3663,3503,3663,1907.2,0.50893,15.19936,4,1,748
3503_9052,3503,9052,100.1,0.95378,16.98752,4,1,785.4
3503_11549,3503,11549,5659.7,0.36786,15.6464,3,2,1716
3504_4630,3504,4630,3463.6,0.26719,16.98752,2,1,968
3504_4835,3504,4835,2172.8,0.27715,15.19936,4,1,748
3504_4846,3504,4846,4431.4,0.26908,21.45792,2,1,1016.4
3505_6845,3505,6845,7775.7,0.42372,21.45792,2,1,1016.4
3505_9707,3505,9707,5067.2,0.23117,19.22272,3,1,938.7
3505_9708,3505,9708,3640.5,0.23583,21.45792,2,1,1016.4
3507_3511,3507,3511,5401.1,0.32034,16.98752,4,1,785.4
3507_3553,3507,3553,634.6,0.06878,19.22272,3,1,938.7
3507_11438,3507,11438,5617.6,0.23675,19.22272,3,1,938.7
3508_5202,3508,5202,1280.1,0.28474,12.51712,4,1,710.6
3508_5480,3508,5480,1157,0.25741000000000003,15.19936,4,1,748
3509_3525,3509,3525,1051.4,0.56856,11.62304,5,1,525
3509_5193,3509,5193,5494.7,0.27465,15.6464,3,2,1716
3509_7143,3509,7143,2374.7,0.08144,15.6464,3,2,1716
3509_10928,3509,10928,1272.7,0.07153,11.62304,5,1,525
3510_3866,3510,3866,3300.6,0.0792,10.28192,5,1,498.75
3510_3871,3510,3871,5355.8,0.1077,10.28192,5,1,498.75
3510_5196,3510,5196,19095.09961,0.12266,13.4112,3,2,1630.2
3510_5640,3510,5640,13316.5,0.12154,13.4112,3,2,1630.2
3511_3477,3511,3477,5401.1,0.03066,10.28192,41,1,1200
3511_3507,3511,3507,555.4,0.32034,16.98752,4,1,785.4
3512_3422,3512,3422,7791.2,0.0923,15.6464,3,2,1716
3512_10781,3512,10781,7643.8,0.15784,15.6464,3,2,1716
3513_3501,3513,3501,634.6,0.09954,10.28192,41,1,1200
3513_3553,3513,3553,5061.9,0.34729,15.6464,3,1,894
3514_3466,3514,3466,14895.6,0.23022,12.472415999999999,2,3,3204
3514_4629,3514,4629,13377.3,0.3909,15.020544000000001,14,3,2862
3515_3516,3515,3516,9659.9,0.15673,17.836896,2,2,2230
3515_10038,3515,10038,5235.6,0.15738,10.28192,41,1,1200
3516_3409,3516,3409,20423.30078,0.58864,17.836896,2,2,2230
3517_3428,3517,3428,14707.2,0.20561,22.530815999999998,2,3,3363
3518_3433,3518,3433,24699.80078,0.13853,24.5872,31,2,2946
3519_5789,3519,5789,1534.7,0.11559,24.5872,31,1,1473
3520_10184,3520,10184,1534.7,0.27674,24.5872,31,1,1473
3521_5013,3521,5013,1859.8,0.39747,24.5872,31,1,1473
3521_5294,3521,5294,1505.4,0.07327,15.6464,30,1,1350
3522_3711,3522,3711,8920.8,0.50842,16.98752,2,1,968
3522_5851,3522,5851,13578.3,0.47841,16.98752,2,2,1858
3522_8828,3522,8828,226,1.00113,11.62304,5,1,525
3523_8951,3523,8951,6350.3,0.24194,13.4112,3,2,1630.2
3523_8952,3523,8952,7335.8,0.16399,13.4112,3,2,1630.2
3524_3983,3524,3983,34595.69922,0.33901,21.45792,14,3,2862
3525_3509,3525,3509,1081.6,0.56856,11.62304,5,1,525
3525_5485,3525,5485,1051.4,0.27096,11.62304,5,1,525
3526_3886,3526,3886,520.3,0.40898,10.28192,5,1,498.75
3526_9690,3526,9690,384.3,0.23302,10.28192,5,1,498.75
3526_10881,3526,10881,258,0.1336,10.28192,5,1,498.75
3528_5198,3528,5198,5210.4,0.22436,13.4112,3,1,849.3
3528_5490,3528,5490,4324.7,0.35607,13.4112,3,1,849.3
3529_3424,3529,3424,6183.4,0.52568,15.6464,3,2,1716
3529_3446,3529,3446,1671.2,0.34365,15.6464,3,2,1716
3529_5850,3529,5850,15829.5,0.28896,15.6464,3,2,1716
3529_10385,3529,10385,10441.1,0.09442,15.6464,3,1,894
3530_3531,3530,3531,13295.4,0.19387,15.19936,4,2,1422
3530_3533,3530,3533,7641.8,0.07644,15.6464,3,2,1716
3530_10250,3530,10250,11310.3,0.24779,10.28192,41,1,1200
3531_3530,3531,3530,12943.7,0.19387,15.19936,4,2,1422
3531_3625,3531,3625,10221,0.302,12.51712,4,2,1350.9
3531_9705,3531,9705,5040.7,0.70342,15.19936,4,1,748
3532_3669,3532,3669,2671.1,0.23654,15.19936,4,2,1422
3532_3680,3532,3680,40,0.2466,12.51712,4,2,1350.9
3533_3530,3533,3530,15344.4,0.07644,15.6464,3,2,1716
3533_3534,3533,3534,9418.5,0.1802,15.6464,3,2,1716
3533_10249,3533,10249,4366.2,0.25048,10.28192,41,1,1200
3534_3533,3534,3533,8144.9,0.1802,15.6464,3,2,1716
3534_3535,3534,3535,9074.9,0.28462,15.6464,3,2,1716
3535_3534,3535,3534,7765.5,0.28462,15.6464,3,2,1716
3535_3613,3535,3613,11623.1,0.15118,16.98752,2,2,1858
3535_3628,3535,3628,5355.5,0.30199,14.30528,2,2,1765.1
3535_4199,3535,4199,8305.8,0.14054,13.4112,3,2,1630.2
3536_3587,3536,3587,11290.3,0.16046,16.98752,2,1,968
3536_3613,3536,3613,9406.7,0.28297,16.98752,2,2,1858
