n,x,y
1074,427808,4512814
1075,428770,4512965
1076,429654,4513547
1077,430435,4512478
1078,425873,4512440
1079,426234,4512442
1080,425868,4512202
1081,426231,4512199
1082,426081,4511948
1083,425858,4511619
1084,426239,4511673
1085,426715,4512432
1086,426713,4512194
1087,426718,4511827
1088,427190,4511822
1089,427594,4512419
1090,427555,4512178
1091,427672,4511775
1092,428254,4511851
1093,428945,4511865
1094,429468,4511737
1095,423749,4511222
1096,424219,4511242
1097,423901,4510772
1098,424143,4510781
1099,424395,4510786
1100,424637,4511068
1101,424643,4510650
1102,424870,4510906
1103,425248,4510953
1104,425731,4510978
1105,426218,4510960
1106,426696,4510968
1107,427165,4510948
1108,427674,4511040
1109,427675,4510565
1110,428130,4511016
1111,428627,4511133
1112,428144,4510607
1113,428655,4510678
1114,429101,4510882
1115,429637,4510918
1116,430549,4510951
1117,431761,4510885
1118,430564,4510138
1119,431627,4510132
1120,431403,4509584
1121,423888,4510073
1122,424170,4510100
1123,424384,4510021
1124,424617,4510019
1125,424883,4510012
1126,425240,4510010
1127,425716,4510010
1128,426199,4510003
1129,426668,4510017
1130,427174,4510005
1131,427668,4510017
1132,428150,4510013
1133,428634,4510010
1134,429089,4509961
1135,429605,4509956
1136,430089,4509926
1137,423830,4509115
1138,424175,4509185
1139,423858,4508477
1140,424130,4508474
1141,424371,4508991
1142,424617,4509040
1143,424868,4509048
1144,424712,4508508
1145,425220,4509040
1146,425705,4509048
1147,426202,4509074
1148,426682,4509037
1149,427155,4509147
1150,427662,4509190
1151,427159,4508748
1152,427623,4508798
1153,428147,4509072
1154,428633,4509072
1155,429071,4509111
1156,429603,4509104
1157,430071,4509062
1158,430628,4509103
1159,430949,4508391
1160,431394,4507920
1161,431257,4508951
1162,431678,4508138
1163,423806,4508174
1164,424125,4508261
1165,424343,4508234
1166,424148,4508087
1167,424371,4508032
1168,424765,4508107
1169,425219,4508467
1170,425709,4508460
1171,425220,4508085
1172,425690,4508101
1173,426206,4508461
1174,426183,4508078
1175,426680,4508460
1176,427145,4508461
1177,427639,4508508
1178,426666,4508119
1179,427210,4508124
1180,427722,4508183
1181,428374,4508344
1182,429282,4508296
1183,430383,4507829
1184,423849,4507626
1185,424121,4507540
1186,424368,4507567
1187,424602,4507538
1188,424852,4507543
1189,423819,4506872
1190,424121,4506890
1191,424363,4506908
1192,424717,4506908
1193,425226,4507534
1194,425697,4507553
1195,425201,4506845
1196,425650,4506864
1197,426167,4507553
1198,426148,4507025
1199,423811,4506262
1200,424121,4506271
1201,424336,4506208
1202,424733,4506207
1203,424085,4505477
1204,424327,4505500
1205,424762,4505509
1206,424020,4504785
1207,424350,4504791
1208,424641,4504775
1209,423839,4504123
1210,424194,4504078
1211,424645,4504036
1212,425204,4506160
1213,425643,4506089
1214,426184,4506567
1215,426124,4506133
1216,425166,4505110
1217,425642,4505187
1218,426144,4505257
1219,425169,4504221
1220,425636,4504098
1221,425152,4503819
1222,425620,4503457
1223,426107,4503676
1224,426062,4502598
1225,424018,4503397
1226,424317,4503392
1227,424653,4503344
1228,424117,4502591
1229,424672,4502590
1230,424108,4502054
1231,424681,4501970
1232,424148,4501705
1233,424086,4501240
1234,424643,4501350
1235,425130,4503263
1236,425175,4502544
1237,425646,4502449
1238,425166,4501854
1239,426202,4501508
1240,427253,4501238
1241,427259,4500518
1242,427932,4500531
1243,423909,4500014
1244,424446,4500192
1245,423798,4499163
1246,424411,4499032
1247,425281,4501183
1248,425003,4500579
1249,425515,4500623
1250,426188,4500546
1251,425178,4499839
1252,425851,4499714
1253,426281,4500006
1254,425115,4498961
1255,425777,4499176
1256,425787,4498563
1257,426475,4498811
1258,427275,4499742
1259,427155,4498701
1260,428226,4499601
1261,428475,4498876
1262,428417,4498291
1263,426652,4507607
1264,427274,4507571
1265,427786,4507612
1266,428341,4507516
1267,429191,4507498
1268,429830,4507353
1269,426520,4506805
1270,426771,4506832
1271,427128,4506850
1272,427591,4506841
1273,426595,4506091
1274,427349,4506147
1275,427889,4506113
1276,428294,4506801
1277,429132,4506945
1278,429728,4506637
1279,430135,4506755
1280,428366,4506136
1281,428915,4506248
1282,429345,4506189
1283,430081,4506050
1284,430721,4506746
1285,430777,4505997
1286,431803,4506465
1287,433125,4505774
1288,433307,4503973
1289,432800,4502804
1290,426625,4505047
1291,427087,4505167
1292,427584,4505092
1293,428047,4505169
1294,428680,4505260
1295,429329,4505101
1296,429971,4505377
1297,429935,4504660
1298,430762,4505448
1299,432045,4505448
1300,430691,4504751
1301,431809,4504762
1302,426580,4503704
1303,427084,4503712
1304,427546,4503688
1305,426591,4502556
1306,427297,4502483
1307,428049,4503696
1308,428506,4503604
1309,428356,4502535
1310,429030,4504070
1311,429936,4504101
1312,429192,4503424
1313,429891,4503294
1314,430721,4504092
1315,431469,4504092
1316,432339,4504002
1317,430721,4503397
1318,431541,4503419
1319,432128,4503411
1320,429300,4502483
1321,429954,4502452
1322,429500,4501736
1323,430215,4501692
1324,430771,4502789
1325,431103,4502341
1326,431038,4501612
1327,431652,4501764
1328,427521,4501808
1329,428210,4501827
1330,428934,4501442
1331,428735,4500573
1332,428888,4499800
1333,429742,4500861
1334,431298,4500731
1335,429627,4499822
1336,430497,4499631
1337,430424,4498726
1338,432056,4499107
1339,400929,4501392
1340,402534,4498867
1341,406663,4500451
1342,405998,4501645
1343,407178,4501941
1344,406971,4499505
1345,408072,4500918
1346,408792,4498420
1347,410036,4498199
1348,410070,4499942
1349,410973,4500154
1350,411209,4498408
1351,405692,4496242
1352,408185,4496839
1353,407736,4494807
1354,409849,4496737
1355,409547,4495359
1356,411332,4496360
1357,411309,4495433
1358,412203,4495165
1359,406917,4492625
1360,409546,4493978
1361,409315,4492437
1362,410855,4493944
1363,410680,4493165
1364,412067,4493784
1365,405166,4489976
1366,406986,4491336
1367,407039,4489828
1368,409479,4491513
1369,409438,4490795
1370,409369,4490288
1371,409300,4489636
1372,409468,4488986
1373,411230,4492191
1374,412251,4492264
1375,410943,4490558
1376,410441,4489664
1377,411234,4489711
1378,412179,4489827
